Matt Goddard,AUS
Bryce Lawrence,NZL
Craig Joubert,ZAR
Chris Pollock,NZL
Stuart Dickinson,AUS
Mark Lawrence,ZAR
Marius Jonker,ZAR
Keith Brown,NZL
James Leckie,AUS
Jonathan Kaplan,ZAR
Phillip Anthony Bosch,ZAR
Ian Smith,AUS
Paul Marks,AUS
Vinny Munro,NZL
Nathan Pearce,AUS
Jaco Peyper,ZAR
Garratt Williamson,NZL
Steve Walsh,NZL
Pro Legoete,ZAR
Jonathon White,NZL
Dave Pearson,ENG
Glen Jackson,NZL
Jonathon Kaplan,ZAR
Jayco Peyper,ZAR
Lourens van der merwe,ZAR
Michael Fraser,NZL
Andrew Lees,AUS
Stuart Berry,ZAR
Angus Gardner,AUS
Francisco Pastrana,ARG
Rohan Hoffmann,AUS
Jason Jaftha,ZAR
Nick Briant,AUS
Lourens van der Merwe,ZAR
Marius van der Westhuizen,ZAR
Matt O'brien,NZL
Marius van der westhuizen,ZAR
Ben O'keeffe,NZL
Jaco Van heerden,ZAR
Paul Williams,NZL
Quinton Immelman,ZAR
William Houston,AUS
Brendon Pickerill,NZL
Will Houston,AUS
Rasta Rasivhenge,ZAR
Jamie Nutbrown,NZL
Nic Berry,AUS
Shuhei Kubo,JAP
Federico Anselmi,ARG
Egon Seconds,ZAR
Peter Hoffmann,AUS
AJ Jacobs,ZAR
Damon Murphy,AUS
